dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations
euclidean_distance,6,176,0.03858279999985825,5,880,49298,924
euclidean_distance,6,193,0.03446379999877536,5,965,43952,1012
euclidean_distance,6,212,0.042107399996893946,5,1060,52770,1103
euclidean_distance,6,233,0.039688100001512794,4,932,49672,965
euclidean_distance,6,256,0.05075869999927818,3,768,63930,797
euclidean_distance,6,281,0.13804569999774685,10,2810,173372,2896
euclidean_distance,6,309,0.06032640000194078,4,1236,72822,1270
euclidean_distance,6,339,0.10245009999925969,5,1695,126532,1739
euclidean_distance,6,372,0.09942470000169124,4,1488,125350,1520
euclidean_distance,6,409,0.12961170000198763,4,1636,162178,1675
euclidean_distance,6,449,0.10186949999842909,3,1347,125814,1373
euclidean_distance,6,493,0.10549929999979213,3,1479,132274,1507
euclidean_distance,6,542,0.2146111000001838,5,2710,267182,2756
euclidean_distance,6,596,0.6365901999997732,9,5364,781532,5444
euclidean_distance,6,655,0.24742539999715518,4,2620,312322,2657
euclidean_distance,6,720,0.3454154999999446,4,2880,427426,2915
euclidean_distance,6,792,0.45256850000077975,5,3960,563456,4006
euclidean_distance,6,871,0.769382599999517,6,5226,945790,5282
euclidean_distance,6,958,0.39175909999903524,3,2874,481632,2903
euclidean_distance,6,1053,1.4377560000029916,7,7371,1748414,7440
euclidean_distance,6,1158,3.87303669999892,18,20844,4733586,20997
euclidean_distance,6,1273,1.6335629999994126,6,7638,2006340,7696
euclidean_distance,6,1400,3.0052086999967287,10,14000,3711134,14092
euclidean_distance,6,1540,2.964797600001475,8,12320,3687882,12393
euclidean_distance,6,1694,3.19630110000071,7,11858,3946424,11914
euclidean_distance,6,1863,6.363322699999117,10,18630,7301204,18721
euclidean_distance,6,2049,4.3887807999999495,6,12294,5422938,12348
euclidean_distance,6,2253,8.693672500001412,11,24783,10192506,24884
euclidean_distance,6,2478,12.165209999999206,13,32214,15082950,32332
euclidean_distance,6,2725,6.461185699998168,6,16350,7922462,16412
euclidean_distance,6,2997,6.426065300001937,5,14985,7845576,15033
euclidean_distance,6,3296,13.942449499998474,8,26368,17261334,26442
euclidean_distance,6,3625,13.368692100000771,6,21750,16557386,21810
euclidean_distance,6,3987,8.94710860000123,4,15948,11114726,15990
euclidean_distance,6,4385,26.666083600001002,7,30695,32907396,30764
euclidean_distance,6,4823,25.402712499999325,6,28938,31303782,28998
euclidean_distance,6,5305,36.589190400001826,8,42440,45010336,42514
euclidean_distance,6,5835,34.7029165999993,6,35010,42891688,35061
euclidean_distance,6,6418,140.70072250000158,19,121942,172815120,122113
euclidean_distance,7,100,0.014490600002318388,7,700,18532,763
euclidean_distance,7,110,0.008540200000425102,4,440,10516,479
euclidean_distance,7,121,0.00842949999787379,3,363,10661,389
euclidean_distance,7,133,0.012672900000325171,4,532,16182,571
euclidean_distance,7,146,0.01163309999901685,3,438,15040,471
euclidean_distance,7,160,0.015319999998610001,3,480,18762,506
euclidean_distance,7,176,0.02157449999867822,4,704,27398,743
euclidean_distance,7,193,0.06580879999819444,9,1737,81681,1826
euclidean_distance,7,212,0.014205700001184596,2,424,17984,443
euclidean_distance,7,233,0.025067300000955584,3,699,29521,730
euclidean_distance,7,256,0.07175049999932526,7,1792,92192,1860
euclidean_distance,7,281,0.07732899999973597,7,1967,97485,2039
euclidean_distance,7,309,0.08058359999995446,6,1854,100234,1911
euclidean_distance,7,339,0.07714209999903687,5,1695,97327,1745
